question_id,question_name,polling_response,demographic_category,demographic_variable,values,total_counts,response_type,question_type,question_name_preamble,polling_response_coded
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Age,35-49,0.21,240,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Age,50-64,0.15,235,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Age,65,0.16,250,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Gender,Male,0.2,478,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Gender,Female,0.19,518,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Race/Ethnicity,White,0.2,660,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Race/Ethnicity,Hispanic,0.14,115,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Race/Ethnicity,Black,0.16,115,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Type of Residential Area,Urban,0.19,248,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Type of Residential Area,Suburban,0.21,425,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Type of Residential Area,Rural,0.18,272,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Income,40k,0.21,215,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Income,40-80k,0.19,261,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Income,80-150k,0.15,259,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Income,150k,0.24,184,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Total,,0.04,1000,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,2024 Presidential Vote,Trump,0.03,420,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,2024 Presidential Vote,Harris,0.06,405,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,2024 Presidential Vote,Other,0.04,175,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Party Affiliation,Republican,0.02,358,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Party Affiliation,Independent,0.03,299,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Party Affiliation,Democrat,0.07,344,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Systems-Impacted Status,Any Impact,0.04,689,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Systems-Impacted Status,Personally Impacted,0.05,134,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Systems-Impacted Status,Personally Incarcerated,0.06,93,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Systems-Impacted Status,Personally on Probation,0.06,106,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Systems-Impacted Status,Knows Someone Incarcerated,0.04,632,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Systems-Impacted Status,Knows Someone on Probation,0.04,571,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Age,18-34,0.05,250,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Age,35-49,0.06,240,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Age,50-64,0.02,235,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Age,65,0.04,250,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Gender,Male,0.04,478,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Gender,Female,0.04,518,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Race/Ethnicity,White,0.05,660,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Race/Ethnicity,Hispanic,0.03,115,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Race/Ethnicity,Black,0.06,115,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Type of Residential Area,Urban,0.05,248,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Type of Residential Area,Suburban,0.04,425,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Type of Residential Area,Rural,0.03,272,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Income,40k,0.03,215,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Income,40-80k,0.06,261,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Income,80-150k,0.03,259,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Disagree,Income,150k,0.05,184,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",2
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Total,,0.01,1000,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,2024 Presidential Vote,Trump,0.01,420,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,2024 Presidential Vote,Harris,0.02,405,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,2024 Presidential Vote,Other,0.02,175,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Party Affiliation,Republican,0.01,358,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Party Affiliation,Independent,0.02,299,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Party Affiliation,Democrat,0.02,344,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Systems-Impacted Status,Any Impact,0.01,689,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Systems-Impacted Status,Personally Impacted,0.01,134,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Systems-Impacted Status,Personally Incarcerated,0.01,93,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Systems-Impacted Status,Personally on Probation,0.01,106,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Systems-Impacted Status,Knows Someone Incarcerated,0.01,632,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Systems-Impacted Status,Knows Someone on Probation,0.01,571,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Age,18-34,0.01,250,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Age,35-49,0.03,240,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Age,50-64,0.01,235,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Age,65,0.01,250,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Gender,Male,0.02,478,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Gender,Female,0.01,518,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Race/Ethnicity,White,0.01,660,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Race/Ethnicity,Hispanic,0.01,115,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Race/Ethnicity,Black,0.02,115,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Type of Residential Area,Urban,0.01,248,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Type of Residential Area,Suburban,0.02,425,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Type of Residential Area,Rural,0.01,272,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Income,40k,,215,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Income,40-80k,0.01,261,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Income,80-150k,0.01,259,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Disagree,Income,150k,0.04,184,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",1
20,Any criminal justice reform must put public safety/community safety as its top priority,Not Sure,Total,,0.05,1000,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",3
20,Any criminal justice reform must put public safety/community safety as its top priority,Not Sure,2024 Presidential Vote,Trump,0.02,420,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",3
